column,n_unique,n_nonnull,examples
"Soft drinks, tea or coffee with sugar (corn syrup, maple syrup, cane sugar, etc)",6,546,"Yesterday, 1 to 2 times; No, I did not consume these products in the last 7 days; Within the past 4 to 7 days; Yesterday, 3 or more times; Within the past 2 to 3 days; -"
Specify race,7,546,"-; 1/2 Cauc, 1/2 Hisp, Jewish and Non-Jewish mixed; Black/White; Hispanic/Latino & African American; White and African American; Brazilian; Portugese and Cape Verdean"
"Starch (white rice, bread, pizza, potatoes, yams, cereals, pancakes, etc.)",6,546,"Yesterday, 1 to 2 times; Yesterday, 3 or more times; Within the past 4 to 7 days; Within the past 2 to 3 days; No, I did not consume these products in the last 7 days; -"
"Sweets (pies, jam, chocolate, cake, cookies, etc.)",6,546,"Within the past 2 to 3 days; Yesterday, 1 to 2 times; Within the past 4 to 7 days; No, I did not consume these products in the last 7 days; Yesterday, 3 or more times; -"
Tea or coffee no sugar and no sugar replacement,6,546,"No, I did not consume these products in the last 7 days; Within the past 4 to 7 days; Yesterday, 1 to 2 times; Within the past 2 to 3 days; Yesterday, 3 or more times; -"
Urgency of defecation,4,478,-; Hurry; nan; Immediately; Incontinence
"Vegetables (salad, tomatoes, onions, greens, carrots, peppers, green beans, etc)",6,546,"Within the past 2 to 3 days; Yesterday, 1 to 2 times; -; Yesterday, 3 or more times; Within the past 4 to 7 days; No, I did not consume these products in the last 7 days"
Was HBI completed?,3,546,Yes; -; No
Was SCCAI completed?,3,546,-; Yes; No
Was subject terminated by investigator?,2,546,No; Yes
Water,5,546,"Yesterday, 1 to 2 times; Yesterday, 3 or more times; Within the past 2 to 3 days; Within the past 4 to 7 days; -"
Week Number,54,546,-; 8; 16; 28; 38; 46; 26; 32; 41; 7
"White meat (chicken, turkey, etc.)",6,546,"No, I did not consume these products in the last 7 days; Within the past 2 to 3 days; Yesterday, 1 to 2 times; Within the past 4 to 7 days; Yesterday, 3 or more times; -"
"Whole grains (wheat, oats, brown rice, rye, quinoa, wheat bread, wheat pasta)",6,546,"Yesterday, 1 to 2 times; Within the past 2 to 3 days; No, I did not consume these products in the last 7 days; Within the past 4 to 7 days; -; Yesterday, 3 or more times"
"Yogurt or other foods containing active bacterial cultures (kefir, sauerkraut)",6,546,"Within the past 2 to 3 days; Yesterday, 1 to 2 times; No, I did not consume these products in the last 7 days; Within the past 4 to 7 days; Yesterday, 3 or more times; -"
baseline_montreal_location,7,546,L3; -; L1; L2; L3+L4; L2+L4; L1+L4
