metabolite,local_sample_id,intensity,subject_id,time_hr
butyrate,SM-727GQ,14847530.0,,
butyrate,SM-72PGN,1409640.0,,
butyrate,SM-72PHS,1061197.0,,
butyrate,SM-72XGS,4556878.0,,
butyrate,SM-72ZHG,4611485.0,,
butyrate,SM-72ZHO,18084315.0,,
butyrate,SM-734R8,19947809.0,,
butyrate,SM-73BMX,8823839.0,,
butyrate,SM-73BN6,3655001.0,,
butyrate,SM-73JXD,1568158.0,,
butyrate,SM-74Y71,8856720.0,,
butyrate,SM-74Y7D,4819345.0,,
butyrate,SM-74Y93,3799639.0,,
butyrate,SM-76C9O,6145897.0,,
butyrate,SM-76CAL,2328743.0,,
butyrate,SM-76CAT,2914914.0,,
butyrate,SM-76ENW,3776917.0,,
butyrate,SM-76EO1,2566841.0,,
butyrate,SM-76EO9,2731374.0,,
butyrate,SM-76EOD,2183543.0,,
butyrate,SM-76LBZ,5315633.0,,
butyrate,SM-77FXF,4109995.0,,
butyrate,SM-77FXR,7787332.0,,
butyrate,SM-77FXZ,5139315.0,,
butyrate,SM-77FYC,8910587.0,,
butyrate,SM-77M5K,2238929.0,,
butyrate,SM-77M65,4895546.0,,
butyrate,SM-77M69,257002.0,,
butyrate,SM-77VQ3,973306.0,,
butyrate,SM-787I4,9304028.0,,
butyrate,SM-791B3,7572195.0,,
butyrate,SM-791B7,6928573.0,,
butyrate,SM-79RAY,13468737.0,,
butyrate,SM-7AA1S,4108069.0,,
butyrate,SM-7AA21,3320889.0,,
butyrate,SM-7AK5U,8520587.0,,
butyrate,SM-7AK5Y,6195724.0,,
butyrate,SM-7AMI9,9808477.0,,
butyrate,SM-7AMIH,13615637.0,,
butyrate,SM-7B7LB,2855851.0,,
butyrate,SM-7BF15,40485.0,,
butyrate,SM-7BF1T,6814619.0,,
butyrate,SM-7BF22,3887237.0,,
butyrate,SM-7BF2I,7677074.0,,
butyrate,SM-7BF2M,894878.0,,
butyrate,SM-7BF2Q,3871911.0,,
butyrate,SM-7BP4V,3689968.0,,
butyrate,SM-7BP5C,4516547.0,,
butyrate,SM-7BP5K,5441455.0,,
butyrate,SM-7CM7M,39211541.0,,
butyrate,SM-7CP2F,7850455.0,,
butyrate,SM-7CP2V,10465229.0,,
butyrate,SM-7CP2Z,5084040.0,,
butyrate,SM-7CP34,8377286.0,,
butyrate,SM-7CP3G,3367063.0,,
butyrate,SM-7CRWL,1904326.0,,
butyrate,SM-7CRWP,5445444.0,,
butyrate,SM-7CRWX,3764871.0,,
butyrate,SM-7CRX2,2348127.0,,
butyrate,SM-7D34K,7043563.0,,
butyrate,SM-7D34O,5073260.0,,
butyrate,SM-7DGUW,772583.0,,
butyrate,SM-7DGV1,9288869.0,,
butyrate,SM-7DGV5,7719415.0,,
butyrate,SM-7DN33,6672167.0,,
butyrate,SM-7DN37,6441440.0,,
butyrate,SM-7DN3V,775116.0,,
butyrate,SM-7E5ED,17813053.0,,
butyrate,SM-7E5EH,2753152.0,,
butyrate,SM-7ED9N,2075762.0,,
butyrate,SM-7ED9R,6264950.0,,
butyrate,SM-7EDA4,10068284.0,,
butyrate,SM-7EDA8,7763202.0,,
butyrate,SM-7EDAC,6977265.0,,
butyrate,SM-7EWUS,5011381.0,,
butyrate,SM-7F1RS,1100274.0,,
butyrate,SM-7F1RW,11688615.0,,
butyrate,SM-7F43P,4884977.0,,
butyrate,SM-7FHYA,4033685.0,,
butyrate,SM-7FK3W,5978621.0,,
butyrate,SM-7FK4D,9526887.0,,
butyrate,SM-7FVSS,45837819.0,,
butyrate,SM-7GCHC,12806037.0,,
butyrate,SM-7GCHK,12528601.0,,
butyrate,SM-7GFUX,1508112.0,,
butyrate,SM-7GYHH,17907505.0,,
butyrate,SM-7GYHL,15790242.0,,
butyrate,SM-7GYIA,3377564.0,,
butyrate,SM-7GYJN,2896007.0,,
butyrate,SM-7GYJZ,4962634.0,,
butyrate,SM-7H4GS,2649534.0,,
butyrate,SM-7H4H1,8130376.0,,
butyrate,SM-7H4HL,4343394.0,,
butyrate,SM-7HAI4,8659211.0,,
butyrate,SM-7HNM8,2079186.0,,
butyrate,SM-7HXJO,9208357.0,,
butyrate,SM-7HXJW,1699022.0,,
butyrate,SM-7I1FM,391534.0,,
butyrate,SM-7I1FQ,8981645.0,,
butyrate,SM-7I1G3,1738770.0,,
butyrate,SM-7I1G7,2273918.0,,
butyrate,SM-7I1GX,6430857.0,,
butyrate,SM-7I1H2,6708807.0,,
butyrate,SM-7I9G4,3981245.0,,
butyrate,SM-7I9GC,2802153.0,,
butyrate,SM-7IKZB,5926019.0,,
butyrate,SM-7IKZF,7534295.0,,
butyrate,SM-7IKZN,10044245.0,,
butyrate,SM-7IL14,415441.0,,
butyrate,SM-7IL1G,2215202.0,,
butyrate,SM-7IL1K,866477.0,,
butyrate,SM-7IL1O,3462027.0,,
butyrate,SM-7IL1S,4287488.0,,
butyrate,SM-7IWEO,5085104.0,,
butyrate,SM-7IWES,3848295.0,,
butyrate,SM-7IWEW,953600.0,,
butyrate,SM-7IWF5,4717573.0,,
butyrate,SM-7IWF9,8231657.0,,
butyrate,SM-7IWFL,2494477.0,,
butyrate,SM-7J5TO,4140147.0,,
butyrate,SM-7J5TW,7395602.0,,
butyrate,SM-7J5U1,23231677.0,,
butyrate,SM-7J5UD,10246996.0,,
butyrate,SM-7K1UO,6765279.0,,
butyrate,SM-7K1UW,5337672.0,,
butyrate,SM-7K1V1,20663010.0,,
butyrate,SM-7K1V5,7967644.0,,
butyrate,SM-7K1V9,7912259.0,,
butyrate,SM-7K1VZ,4581241.0,,
butyrate,SM-7K1W8,3394318.0,,
butyrate,SM-7K1WG,1181170.0,,
butyrate,SM-7K259,4924661.0,,
butyrate,SM-7KMR8,6186891.0,,
butyrate,SM-7M36P,4255988.0,,
butyrate,SM-7M8S2,8309210.0,,
butyrate,SM-7M8SE,1663674.0,,
butyrate,SM-7MCTQ,5140690.0,,
butyrate,SM-7MCUF,2396242.0,,
butyrate,SM-7NH6E,21399379.0,,
butyrate,SM-7NSP1,3296005.0,,
butyrate,SM-7R3AC,5143954.0,,
butyrate,SM-7R3AG,12360051.0,,
butyrate,SM-7RFYJ,2532863.0,,
butyrate,SM-9HYXZ,2248480.0,,
butyrate,SM-9IMBZ,12015837.0,,
butyrate,SM-9IT11,4068056.0,,
butyrate,SM-9J5IT,2510369.0,,
butyrate,SM-9J5IX,14916249.0,,
butyrate,SM-9JUD6,5985636.0,,
butyrate,SM-9JYA2,6429443.0,,
butyrate,SM-9JYAI,6177813.0,,
butyrate,SM-9KOMO,11657876.0,,
butyrate,SM-9KOPV,14259621.0,,
butyrate,SM-9NBDO,8470911.0,,
butyrate,SM-9NBE1,9976217.0,,
butyrate,SM-9NBEP,5505808.0,,
butyrate,SM-9NBF6,6074352.0,,
butyrate,SM-9O9R1,7053324.0,,
butyrate,SM-9OS5Y,4867882.0,,
butyrate,SM-9OS63,9992303.0,,
butyrate,SM-9OS67,18853.0,,
butyrate,SM-9OS6B,12883702.0,,
butyrate,SM-9OS7N,2315946.0,,
butyrate,SM-9OS7Z,2391704.0,,
butyrate,SM-9OS8G,9034630.0,,
butyrate,SM-9OS8K,6432233.0,,
butyrate,SM-9P5FG,4637849.0,,
butyrate,SM-9P5FO,9494309.0,,
butyrate,SM-9P5FW,1709994.0,,
butyrate,SM-9PJ16,5079794.0,,
butyrate,SM-9PJ1E,5651331.0,,
butyrate,SM-9PJ1I,18481389.0,,
butyrate,SM-9PPUW,4157629.0,,
butyrate,SM-9QMN9,9019704.0,,
butyrate,SM-9QMND,1160626.0,,
butyrate,SM-9QMNL,2592230.0,,
butyrate,SM-9QMOR,7343090.0,,
butyrate,SM-9QMQ9,2123883.0,,
butyrate,SM-9QVJX,7866545.0,,
butyrate,SM-9QVK2,4785176.0,,
butyrate,SM-9QXOC,5704740.0,,
butyrate,SM-9R78F,14538811.0,,
butyrate,SM-9RD3C,10029366.0,,
butyrate,SM-9RD3K,3061166.0,,
butyrate,SM-9RRZH,8457739.0,,
butyrate,SM-9RRZL,6965747.0,,
butyrate,SM-9RRZP,1724747.0,,
butyrate,SM-9RTUR,2367179.0,,
butyrate,SM-9RTUZ,1791536.0,,
butyrate,SM-9RTV8,3035827.0,,
butyrate,SM-9RYI7,6372550.0,,
butyrate,SM-9SD8V,5061432.0,,
butyrate,SM-9SIIW,10802971.0,,
butyrate,SM-9SIJ5,1524241.0,,
butyrate,SM-9SIJB,3236685.0,,
butyrate,SM-9SIZI,2742230.0,,
butyrate,SM-9SIZM,6831773.0,,
butyrate,SM-9SKIL,3657829.0,,
butyrate,SM-9SNJ4,4651546.0,,
butyrate,SM-9SNJ8,1119750.0,,
butyrate,SM-9T55H,5792590.0,,
butyrate,SM-9T55L,2182776.0,,
butyrate,SM-9U25X,3229267.0,,
butyrate,SM-9U262,116007.0,,
butyrate,SM-9U26Q,9603535.0,,
butyrate,SM-9UCZF,6153865.0,,
butyrate,SM-9UW5S,10775928.0,,
butyrate,SM-9VE4Y,17911731.0,,
butyrate,SM-9VW8T,2198630.0,,
butyrate,SM-9VW8X,1152465.0,,
butyrate,SM-9VWAW,2737931.0,,
butyrate,SM-9VWC6,40551.0,,
butyrate,SM-9VWCE,1526476.0,,
butyrate,SM-9VWCQ,8608943.0,,
butyrate,SM-9W3AD,4275471.0,,
butyrate,SM-9W3AZ,166042.0,,
butyrate,SM-9W3B4,2459142.0,,
butyrate,SM-9W7VZ,2713829.0,,
butyrate,SM-9W7W4,5633375.0,,
butyrate,SM-9W7W8,3003003.0,,
butyrate,SM-9WOBD,1623208.0,,
butyrate,SM-9WOBP,54785.0,,
butyrate,SM-9WOBT,1815325.0,,
butyrate,SM-9WYEF,3041715.0,,
butyrate,SM-9X47O,1906773.0,,
butyrate,SM-9XIOJ,236056.0,,
butyrate,SM-9XIOX,3015357.0,,
butyrate,SM-9XKWX,8709545.0,,
butyrate,SM-9Y49Z,23958.0,,
butyrate,SM-9Y4AC,1567161.0,,
butyrate,SM-9Y7CW,8759358.0,,
butyrate,SM-9YHLB,2050936.0,,
butyrate,SM-9YTMA,3591940.0,,
butyrate,SM-9ZA1W,2992700.0,,
butyrate,SM-9ZA5J,8630073.0,,
butyrate,SM-9ZA5V,2140267.0,,
butyrate,SM-9ZE8H,4264312.0,,
butyrate,SM-9ZE8P,5671626.0,,
butyrate,SM-9ZE8T,8044640.0,,
butyrate,SM-9ZEPA,4717469.0,,
butyrate,SM-9ZGIF,3343926.0,,
butyrate,SM-9ZJIA,6019645.0,,
butyrate,SM-9ZJII,12628343.0,,
butyrate,SM-9ZK9F,12185695.0,,
butyrate,SM-A12KH,5077311.0,,
butyrate,SM-A12KL,2098840.0,,
butyrate,SM-A12L2,8997385.0,,
butyrate,SM-A14C6,10224980.0,,
butyrate,SM-A14CI,131751.0,,
butyrate,SM-A14CQ,6290120.0,,
butyrate,SM-A18YS,3330925.0,,
butyrate,SM-A18Z1,1129213.0,,
butyrate,SM-A1C87,6525326.0,,
butyrate,SM-A1ZUY,6099766.0,,
butyrate,SM-A1ZVJ,5152924.0,,
butyrate,SM-A2BG6,4516598.0,,
butyrate,SM-A2HYM,8006934.0,,
butyrate,SM-A2HYU,5273973.0,,
butyrate,SM-A2HYY,6190622.0,,
butyrate,SM-A312T,1370161.0,,
butyrate,SM-A373R,5608378.0,,
butyrate,SM-A3744,2876167.0,,
butyrate,SM-A375P,8603728.0,,
butyrate,SM-A3J7F,15786447.0,,
butyrate,SM-A47RS,11001912.0,,
butyrate,SM-A47S3,2331487.0,,
butyrate,SM-A4O3C,7395355.0,,
butyrate,SM-A4UVT,10792316.0,,
butyrate,SM-A5A1N,3470836.0,,
butyrate,SM-A5A1R,1311663.0,,
butyrate,SM-A5A1V,3775879.0,,
butyrate,SM-A5QMX,1392435.0,,
butyrate,SM-A5QN2,1929444.0,,
butyrate,SM-A5QNE,939588.0,,
butyrate,SM-A61QC,8325514.0,,
butyrate,SM-A61QG,2769352.0,,
butyrate,SM-A62BX,7552978.0,,
butyrate,SM-A72E7,7993806.0,,
butyrate,SM-A77UE,17625439.0,,
butyrate,SM-A77UI,11830591.0,,
butyrate,SM-A77UY,6841409.0,,
butyrate,SM-A77WI,6649527.0,,
butyrate,SM-A7J1H,263505.0,,
butyrate,SM-A7J1L,1104739.0,,
butyrate,SM-A7J1X,3804018.0,,
butyrate,SM-A8MJS,5288292.0,,
butyrate,SM-A8XLM,6205387.0,,
butyrate,SM-A9F53,4827293.0,,
butyrate,SM-A9F5B,9181296.0,,
butyrate,SM-A9F5R,1809613.0,,
butyrate,SM-A9F6G,39784.0,,
butyrate,SM-A9F71,7926755.0,,
butyrate,SM-A9F75,2474773.0,,
butyrate,SM-A9J97,1353091.0,,
butyrate,SM-A9J9N,3698768.0,,
butyrate,SM-A9VSE,6198344.0,,
butyrate,SM-AADKW,1171217.0,,
butyrate,SM-AADL1,4189284.0,,
butyrate,SM-AAHYA,4723634.0,,
butyrate,SM-AAHYE,7096805.0,,
butyrate,SM-ACTNE,7606607.0,,
butyrate,SM-ACTNU,18513495.0,,
butyrate,SM-ACTNY,2306983.0,,
butyrate,SM-ACTOF,4117601.0,,
butyrate,SM-ADDEW,3566588.0,,
butyrate,SM-ADDF5,9552874.0,,
butyrate,SM-ADICO,10430925.0,,
butyrate,SM-ADID5,14309026.0,,
butyrate,SM-ADYKC,6218461.0,,
butyrate,SM-AE3QV,2510852.0,,
butyrate,SM-AE3RC,6450857.0,,
butyrate,SM-AEB6U,819429.0,,
butyrate,SM-AF6M6,1774369.0,,
butyrate,SM-AF6MI,9122713.0,,
butyrate,SM-AF6MY,2677512.0,,
butyrate,SM-AF6NB,6431988.0,,
butyrate,SM-AFCK9,20823.0,,
butyrate,SM-AFCKD,2590302.0,,
butyrate,SM-AFCKH,4353616.0,,
butyrate,SM-AFJ1N,111397.0,,
butyrate,SM-AFSHZ,1835457.0,,
butyrate,SM-AFSIG,7507876.0,,
butyrate,SM-AFSIK,4143284.0,,
butyrate,SM-AFSIO,5434586.0,,
butyrate,SM-AG2E3,5055077.0,,
butyrate,SM-AG78Z,10653568.0,,
butyrate,SM-AGULV,9479150.0,,
butyrate,SM-AGUMC,3737348.0,,
butyrate,SM-AGUMK,774331.0,,
butyrate,SM-AGUN1,3563159.0,,
butyrate,SM-AGUN5,9311165.0,,
butyrate,SM-AGUND,7805800.0,,
butyrate,SM-AGUNH,1779032.0,,
butyrate,SM-AHF2E,13070103.0,,
butyrate,SM-AHUNW,3232970.0,,
butyrate,SM-AHUO1,3641822.0,,
butyrate,SM-AI38G,4504008.0,,
butyrate,SM-AIG54,8629854.0,,
butyrate,SM-AIG5S,9257081.0,,
butyrate,SM-AIG6P,5259494.0,,
butyrate,SM-AIG8M,4387379.0,,
butyrate,SM-AIRV5,1644155.0,,
butyrate,SM-AJC3J,5580047.0,,
butyrate,SM-AJDM5,6684563.0,,
butyrate,SM-AK8KS,5245183.0,,
butyrate,SM-AK8LH,2521395.0,,
butyrate,SM-AKTXS,10544857.0,,
butyrate,SM-AKTY5,35033.0,,
butyrate,SM-AKTYH,4672595.0,,
butyrate,SM-AKTYL,2976163.0,,
butyrate,SM-AKTYX,5213875.0,,
butyrate,SM-AKTZI,2442370.0,,
butyrate,SM-AM1I6,3468605.0,,
butyrate,SM-AMR2U,4516728.0,,
butyrate,SM-AMR37,11716859.0,,
butyrate,SM-AMR3J,4669385.0,,
butyrate,SM-AN5FR,18086792.0,,
butyrate,SM-AN5FZ,1560356.0,,
butyrate,SM-APDWQ,2300254.0,,
butyrate,SM-APDXF,16266986.0,,
butyrate,SM-APDY4,4669757.0,,
butyrate,SM-APR9M,1797267.0,,
butyrate,SM-APR9Q,1587751.0,,
butyrate,SM-AQJXS,5632062.0,,
butyrate,SM-ARB69,6844979.0,,
butyrate,SM-ARMBQ,10778009.0,,
butyrate,SM-ARMBY,973519.0,,
butyrate,SM-ARMC7,7489829.0,,
butyrate,SM-ARMCB,1115307.0,,
butyrate,SM-ARMDG,5873895.0,,
butyrate,SM-ARNW1,7235202.0,,
butyrate,SM-ARWVG,3775085.0,,
butyrate,SM-ASN2R,2949360.0,,
butyrate,SM-ASN2Z,3039332.0,,
butyrate,SM-ATLL1,4401642.0,,
butyrate,SM-ATVSR,6593201.0,,
butyrate,SM-ATVT8,12380753.0,,
butyrate,SM-AU2MF,38134.0,,
butyrate,SM-AUNQ5,6797020.0,,
butyrate,SM-AUP8B,5091594.0,,
butyrate,SM-AV8JF,3091973.0,,
butyrate,SM-AVADD,7415872.0,,
butyrate,SM-AVADL,3321653.0,,
butyrate,SM-AVADT,7285947.0,,
butyrate,SM-AVAE6,3139554.0,,
butyrate,SM-AVJBU,855578.0,,
butyrate,SM-AVPGV,2465422.0,,
butyrate,SM-AVPGZ,3536730.0,,
butyrate,SM-AVR6W,9199874.0,,
butyrate,SM-AVR79,7260476.0,,
butyrate,SM-AW574,22409109.0,,
butyrate,SM-AWJJY,4834153.0,,
butyrate,SM-AWQK7,3975899.0,,
butyrate,SM-AXQRD,4270163.0,,
butyrate,SM-AXQRH,773644.0,,
butyrate,SM-AXTSZ,3888077.0,,
butyrate,SM-AXTT4,10178411.0,,
butyrate,SM-AYMHV,2849385.0,,
butyrate,SM-B1JO5,6070146.0,,
butyrate,SM-B1JOP,5798236.0,,
butyrate,SM-B1SBW,1986524.0,,
butyrate,SM-B2OQ7,4162176.0,,
butyrate,SM-B2OQN,5953620.0,,
butyrate,SM-B4A4G,1427901.0,,
butyrate,SM-B4LHS,4044449.0,,
butyrate,SM-B58FG,7451865.0,,
butyrate,SM-B58G1,5628324.0,,
butyrate,SM-B5F8Y,8364118.0,,
butyrate,SM-B5F9B,4010188.0,,
butyrate,SM-B5ORH,3350780.0,,
butyrate,SM-BYMCC,7575553.0,,
butyrate,SM-BZ5M6,3586851.0,,
butyrate,SM-BZIQP,789372.0,,
butyrate,SM-BZNKI,30820.0,,
butyrate,SM-BZNLC,2477300.0,,
butyrate,SM-BZWMX,6626367.0,,
butyrate,SM-C1MZ3,11397078.0,,
butyrate,SM-C1WB2,7647428.0,,
butyrate,SM-CE6ZH,5869294.0,,
butyrate,SM-CE9V4,3771372.0,,
butyrate,SM-CEFO7,4805731.0,,
butyrate,SM-CG7AV,3298583.0,,
butyrate,SM-CH32H,7555458.0,,
butyrate,SM-CH32P,3125034.0,,
butyrate,SM-CHS72,5015391.0,,
butyrate,SM-CHS76,5217558.0,,
butyrate,SM-CHZLQ,4078824.0,,
butyrate,SM-CJ2ZF,3250232.0,,
butyrate,SM-CJNBH,3559992.0,,
butyrate,SM-CKJ6T,1133995.0,,
butyrate,SM-CL4HR,11545214.0,,
butyrate,SM-CLM5L,3668402.0,,
butyrate,SM-CMUKL,14127111.0,,
butyrate,SM-CMUKP,6023947.0,,
butyrate,SM-CNIIF,8393965.0,,
butyrate,SM-CNW2E,3351609.0,,
butyrate,SM-COSYB,976014.0,,
butyrate,SM-CP6EO,9699999.0,,
butyrate,SM-CQEDG,2363129.0,,
butyrate,SM-CRP6E,2810175.0,,
butyrate,SM-CRT7P,5852769.0,,
butyrate,SM-CSF71,3023360.0,,
butyrate,SM-CSN3P,12697291.0,,
butyrate,SM-CTLFU,8605382.0,,
butyrate,SM-CTTKY,4291894.0,,
lactate,SM-5Q4W7,10161152.0,,
lactate,SM-5QVZ9,353075.0,,
lactate,SM-5QVZD,527452.0,,
lactate,SM-5U5DE,4488319.0,,
lactate,SM-5WXZX,423068.0,,
lactate,SM-5XHHR,305566.0,,
lactate,SM-5ZNHM,7636839.0,,
lactate,SM-5ZNHS,834550.0,,
lactate,SM-5ZZL9,249483.0,,
lactate,SM-61N7T,529584.0,,
lactate,SM-61NJ9,359433.0,,
lactate,SM-61U3T,18442204.0,,
lactate,SM-61YN5,1247341.0,,
lactate,SM-62ARQ,472799.0,,
lactate,SM-63ZAH,569481.0,,
lactate,SM-64NA9,812653.0,,
lactate,SM-65GXK,320732.0,,
lactate,SM-67WTX,589072.0,,
lactate,SM-689O4,400726.0,,
lactate,SM-689SS,260178.0,,
lactate,SM-69UMY,1531395.0,,
lactate,SM-6AXJO,753554.0,,
lactate,SM-6BKS1,925315.0,,
lactate,SM-6BQPK,28510871.0,,
lactate,SM-6CAJC,1389260.0,,
lactate,SM-6CAJI,326367.0,,
lactate,SM-6CAKR,529296.0,,
lactate,SM-6DRTP,315580.0,,
lactate,SM-6EFPD,276232.0,,
lactate,SM-6FNVI,1216714.0,,
lactate,SM-6FNW6,400362.0,,
lactate,SM-6GH65,433989.0,,
lactate,SM-6HUBR,326611.0,,
lactate,SM-6HUG5,741410.0,,
lactate,SM-6J3OB,3929282.0,,
lactate,SM-6JWO4,352080.0,,
lactate,SM-6KUC9,252447.0,,
lactate,SM-6KUCD,340482.0,,
lactate,SM-6KUCH,311107.0,,
lactate,SM-6KUCT,2625878.0,,
lactate,SM-6KUD2,602032.0,,
lactate,SM-6M2VX,398989.0,,
lactate,SM-6M48S,6656478.0,,
lactate,SM-6MSSO,777337.0,,
lactate,SM-6MSSW,319008.0,,
lactate,SM-6MYZ2,639550.0,,
lactate,SM-6OLSC,363148.0,,
lactate,SM-6OOEJ,635413.0,,
lactate,SM-6OSOU,347765.0,,
lactate,SM-6Q4FM,709712.0,,
lactate,SM-6Q4FQ,474597.0,,
lactate,SM-6RB9P,641288.0,,
lactate,SM-6SF6T,983473.0,,
lactate,SM-6SSMY,560766.0,,
lactate,SM-6TO52,405143.0,,
lactate,SM-6WJN1,430693.0,,
lactate,SM-6WOC1,354102.0,,
lactate,SM-6WU1I,312781.0,,
lactate,SM-6X9W2,673406.0,,
lactate,SM-6X9W6,365969.0,,
lactate,SM-6X9WA,317738.0,,
lactate,SM-6X9WE,504900.0,,
lactate,SM-6X9WM,312235.0,,
lactate,SM-6X9WU,650284.0,,
lactate,SM-6XJTB,479100.0,,
lactate,SM-6XJTF,463956.0,,
lactate,SM-6XJTN,373871.0,,
lactate,SM-6XJUC,466969.0,,
lactate,SM-6XNM3,4824955.0,,
lactate,SM-6XRKG,402519.0,,
lactate,SM-6XSL6,620974.0,,
lactate,SM-6XSLI,729168.0,,
lactate,SM-6XTSQ,412266.0,,
lactate,SM-6XTSU,4636046.0,,
lactate,SM-6XTSY,23224520.0,,
lactate,SM-6Y2UL,615841.0,,
lactate,SM-6Y87V,508635.0,,
lactate,SM-6YAZN,294996.0,,
lactate,SM-6YAZR,8608587.0,,
lactate,SM-6ZEU8,528636.0,,
lactate,SM-6ZEUG,367815.0,,
lactate,SM-6ZEV1,667662.0,,
lactate,SM-6ZEVH,307072.0,,
lactate,SM-6ZEVL,1474488.0,,
lactate,SM-6ZJI5,855108.0,,
lactate,SM-6ZJI9,2460742.0,,
lactate,SM-6ZKSA,3102377.0,,
lactate,SM-6ZKT1,779087.0,,
lactate,SM-6ZKY3,438592.0,,
lactate,SM-6ZT2N,551767.0,,
lactate,SM-6ZT2V,366337.0,,
lactate,SM-6ZT3C,11777947.0,,
lactate,SM-6ZT3G,25041331.0,,
lactate,SM-6ZT3W,358699.0,,
lactate,SM-6ZUH2,711660.0,,
lactate,SM-71WX9,6364010.0,,
lactate,SM-71WXD,237962.0,,
lactate,SM-71WXH,517242.0,,
lactate,SM-71WXX,325432.0,,
